,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
36,COMP_1W,PinkKey_1.jpg,match,0,WVCNZ,KEY
37,LIST_1W,GreenBone_1.jpg,match,0,XKQ,BONE
38,LIST_1W,BlueSquare_1.jpg,mismatch,2,MTPV,DISC
39,LIST_1W,RedLeaf_3.jpg,mismatch,1,MTPV,SHOE
40,LIST_1W,PinkLamp_3.jpg,mismatch,2,RJDNW,BONE
41,LIST_1W,RedTree_2.jpg,match,0,RJDNW,TREE
42,FIX,NA,NA,NA,NA,NA
43,LIST_1W,BlueBell_3.jpg,mismatch,2,RJDNW,LEAF
44,LIST_1W,PinkSquare_2.jpg,mismatch,1,WVCNZ,BOAT
45,LIST_1W,BrownDisc_2.jpg,mismatch,2,MTPV,HOUSE
46,LIST_1W,BlackBell_2.jpg,match,0,ZBXLV,BELL
47,LIST_1W,BrownTree_2.jpg,match,0,XKQ,TREE
48,COMP_1W,BlueBoat_2.jpg,mismatch,3,ZBXLV,BOW
49,COMP_1W,GreenTree_1.jpg,mismatch,3,MTPV,HAND
50,COMP_1W,BlueCross_1.jpg,match,0,RJDNW,CROSS
51,COMP_1W,PinkPlane_2.jpg,mismatch,3,QXSW,NOTE
52,COMP_1W,BlackBone_1.jpg,match,0,XKQ,BONE
53,LIST_2W,RedCup_3.jpg,match,0,LAMP,CUP
54,LIST_2W,BlackCane_2.jpg,mismatch,3,HOUSE,TREE
55,LIST_2W,BlackLeaf_3.jpg,mismatch,3,CROSS,FORK
56,LIST_2W,BrownFlag_2.jpg,mismatch,3,LAMP,CAR
57,LIST_2W,RedLock_3.jpg,match,0,CROSS,LOCK
58,COMP_2W,BlackCup_1.jpg,match,0,BLACK,CUP
59,COMP_2W,PinkLeaf_3.jpg,mismatch,2,BLACK,LEAF
60,COMP_2W,BlueBone_3.jpg,mismatch,2,BROWN,BONE
61,COMP_2W,BlackKey_3.jpg,mismatch,1,BLACK,BOAT
62,COMP_2W,BrownPlane_2.jpg,match,0,BROWN,PLANE
63,FIX,NA,NA,NA,NA,NA
64,LIST_2W,BlackKey_3.jpg,mismatch,2,PLANE,LEAF
65,LIST_2W,BlackFlag_1.jpg,mismatch,1,PLANE,CAR
66,LIST_2W,PinkCross_2.jpg,match,0,BOAT,CROSS
67,LIST_2W,RedLock_3.jpg,mismatch,3,CROSS,HOUSE
68,LIST_2W,PinkCup_1.jpg,match,0,CUP,DISC
69,LIST_1W,GreenCar_3.jpg,mismatch,1,RJDNW,SQUARE
70,LIST_1W,BlackCar_1.jpg,mismatch,3,XKQ,PLANE
71,LIST_1W,GreenHeart_2.jpg,match,0,RJDNW,HEART
72,LIST_1W,BlackCar_2.jpg,match,0,MTPV,CAR
73,LIST_1W,PinkCup_2.jpg,mismatch,3,QXSW,HAND
74,COMP_2W,PinkFlag_2.jpg,mismatch,2,RED,FLAG
75,COMP_2W,BlackShoe_1.jpg,match,0,BLACK,SHOE
76,COMP_2W,RedBell_1.jpg,mismatch,2,RED,BELL
77,COMP_2W,PinkHouse_3.jpg,match,0,PINK,HOUSE
78,COMP_2W,RedCar_3.jpg,mismatch,1,RED,NOTE
79,COMP_1W,BlackLeaf_1.jpg,mismatch,3,RJDNW,TREE
80,COMP_1W,BlueShoe_3.jpg,match,0,RJDNW,SHOE
81,COMP_1W,BrownStar_1.jpg,match,0,QXSW,STAR
82,COMP_1W,BlackFlag_1.jpg,mismatch,2,MTPV,FORK
83,COMP_1W,BlueBell_2.jpg,match,0,ZBXLV,BELL
84,FIX,NA,NA,NA,NA,NA
