,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
49,RJDNW,GREEN,ZBXLV,CROSS,BOW,match,0,2,RedBow_3.jpg,GreenBow_2.jpg,PinkBow_3.jpg,PinkBow_1.jpg
50,MTPV,PINK,QXSW,BOAT,BOW,mismatch,1,0,BlueHouse_3.jpg,PinkShoe_2.jpg,GreenCross_1.jpg,BlueShoe_1.jpg
51,ZBXLV,BLACK,WVCNZ,HOUSE,BOW,mismatch,1,0,GreenPlane_1.jpg,BlackLamp_3.jpg,RedPlane_1.jpg,BlueCross_2.jpg
52,ZBXLV,BROWN,WVCNZ,CROSS,CAR,match,0,1,BlackCar_3.jpg,BrownCar_1.jpg,BrownCar_3.jpg,BlueCross_3.jpg
53,WVCNZ,GREEN,ZBXLV,PLANE,CAR,match,0,2,BlueCar_2.jpg,GreenCar_3.jpg,RedCar_2.jpg,BlackCar_3.jpg
54,MTPV,BLUE,QXSW,LAMP,CAR,mismatch,3,0,BrownBoat_3.jpg,RedDisc_3.jpg,BlueHouse_3.jpg,BlueLock_3.jpg
55,RJDNW,BLACK,RJDNW,HOUSE,CAR,mismatch,3,0,RedBag_2.jpg,BrownHeart_3.jpg,GreenLock_3.jpg,PinkSquare_3.jpg
56,ZBXLV,BROWN,ZBXLV,PLANE,CROSS,match,0,1,BlackCross_1.jpg,BrownCross_1.jpg,PinkCross_3.jpg,BrownPlane_2.jpg
57,QXSW,PINK,QXSW,BOAT,CROSS,match,0,2,PinkCross_3.jpg,PinkCross_2.jpg,PinkCross_2.jpg,GreenCross_1.jpg
58,XKQ,RED,XKQ,CUP,CROSS,mismatch,1,0,BrownSquare_2.jpg,RedTree_3.jpg,BlueStar_2.jpg,RedLock_3.jpg
59,RJDNW,GREEN,RJDNW,HOUSE,CROSS,mismatch,3,0,GreenLamp_3.jpg,BlackTree_2.jpg,BlueStar_2.jpg,GreenBow_3.jpg
